,x,y,width,height,frame_num,cls
0,0,0,640,512,0,Background
0,247,330,15,15,15,Person
0,247,330,15,15,16,Person
0,247,330,15,15,17,Person
0,246,331,16,15,18,Person
0,246,331,15,15,19,Person
0,246,331,15,16,20,Person
1,393,160,15,15,20,Person
0,246,331,15,16,21,Person
1,393,160,15,15,21,Person
0,246,331,15,16,22,Person
1,392,160,16,15,22,Person
0,484,429,15,15,23,Person
1,245,331,16,16,23,Person
2,392,160,16,15,23,Person
0,484,429,15,15,24,Person
1,245,331,16,16,24,Person
2,167,183,15,15,24,Person
3,392,160,16,15,24,Person
0,484,429,15,15,25,Person
1,246,331,15,16,25,Person
2,392,160,16,15,25,Person
0,484,429,15,15,26,Person
1,245,331,16,17,26,Person
2,392,160,15,15,26,Person
0,245,331,16,17,27,Person
1,392,160,15,15,27,Person
0,245,328,18,21,28,Person
1,392,160,15,15,28,Person
0,245,328,18,21,29,Person
0,484,428,15,15,30,Person
1,244,332,17,17,30,Person
2,166,182,15,15,30,Person
0,244,331,17,18,31,Person
1,166,182,25,19,31,Person
0,483,428,15,15,32,Person
1,244,332,17,17,32,Person
2,166,182,25,19,32,Person
0,483,428,15,15,33,Person
1,244,332,17,18,33,Person
2,166,182,25,19,33,Person
0,483,428,15,15,34,Person
1,244,333,16,17,34,Person
2,166,182,25,19,34,Person
0,483,428,15,15,35,Person
1,244,333,16,18,35,Person
2,166,182,25,18,35,Person
0,483,427,15,16,36,Person
1,244,330,18,21,36,Person
2,166,182,25,18,36,Person
0,483,427,15,16,37,Person
1,244,333,16,18,37,Person
2,166,182,25,18,37,Person
0,483,427,15,16,38,Person
1,244,333,16,18,38,Person
2,429,183,15,15,38,Person
3,166,182,25,18,38,Person
0,483,427,15,16,39,Person
1,244,334,16,18,39,Person
2,166,182,25,18,39,Person
0,483,427,15,16,40,Person
1,244,334,16,18,40,Person
2,430,184,15,15,40,Person
3,166,182,25,19,40,Person
0,483,427,15,16,41,Person
1,243,334,17,18,41,Person
2,430,184,15,15,41,Person
3,166,182,25,19,41,Person
4,387,157,15,15,41,Person
0,483,427,15,16,42,Person
1,243,335,17,17,42,Person
2,166,182,25,18,42,Person
0,483,427,15,16,43,Person
1,243,335,17,17,43,Person
2,166,182,25,18,43,Person
0,482,427,16,16,44,Person
1,243,332,18,21,44,Person
2,175,185,15,15,44,Car
3,431,184,15,15,44,Person
0,482,427,16,16,45,Person
1,243,335,16,18,45,Person
2,432,185,15,15,45,Person
3,175,185,15,15,45,Car
0,482,426,16,17,46,Person
1,243,336,16,18,46,Person
2,432,185,15,15,46,Person
3,174,185,16,15,46,Car
0,482,426,16,17,47,Person
1,243,336,16,18,47,Person
2,432,185,15,15,47,Person
3,174,185,16,15,47,Car
0,482,426,16,17,48,Person
1,242,336,17,18,48,Person
2,433,185,15,15,48,Person
3,174,184,16,16,48,Car
0,482,426,16,17,49,Person
1,242,336,17,18,49,Person
2,433,185,15,15,49,Person
3,174,184,16,16,49,Car
0,482,425,16,18,50,Person
1,242,337,17,17,50,Person
2,433,185,15,15,50,Person
3,174,185,15,15,50,Car
0,482,425,16,18,51,Person
1,242,337,17,18,51,Person
2,174,185,16,15,51,Car
3,246,129,15,15,51,Person
0,482,425,15,17,52,Person
1,242,337,16,18,52,Person
2,434,186,15,15,52,Person
3,174,185,15,15,52,Car
4,383,155,15,15,52,Person
5,246,129,15,15,52,Person
0,482,425,15,17,53,Person
1,242,338,16,17,53,Person
2,438,187,15,15,53,Person
3,174,185,15,15,53,Car
4,383,155,15,15,53,Person
5,246,129,15,15,53,OtherVehicle
0,482,425,15,16,54,Person
1,242,335,18,21,54,Person
2,438,187,15,15,54,Person
3,174,184,15,16,54,Car
4,383,155,15,15,54,Person
5,245,129,16,15,54,OtherVehicle
0,482,425,15,16,55,Person
1,242,335,18,21,55,Person
2,438,187,15,15,55,Person
3,174,184,15,16,55,Car
4,383,155,15,15,55,Person
5,245,129,16,15,55,OtherVehicle
0,482,425,15,16,56,Person
1,242,338,16,18,56,Person
2,438,187,15,15,56,Person
3,164,181,25,19,56,Person
4,383,155,15,15,56,Person
5,245,129,15,15,56,Car
0,481,424,16,17,57,Person
1,242,338,16,18,57,Person
2,164,181,25,19,57,Person
3,383,155,15,15,57,Person
4,245,129,15,15,57,Car
0,481,424,16,17,58,Person
1,241,339,17,18,58,Person
2,436,187,15,15,58,Car
3,164,181,25,19,58,Person
0,481,424,16,17,59,Person
1,241,339,17,18,59,Person
2,164,181,25,19,59,Person
3,381,154,15,15,59,Person
4,244,129,15,15,59,Car
0,481,424,16,17,60,Person
1,241,339,17,19,60,Person
2,164,181,25,19,60,Person
3,244,129,15,15,60,Car
0,481,424,16,17,61,Person
1,241,339,17,19,61,Person
2,164,181,25,19,61,Person
3,244,129,15,15,61,Car
0,481,424,16,17,62,Person
1,241,340,16,18,62,Person
2,164,181,25,19,62,Person
0,481,423,16,18,63,Person
1,241,340,16,18,63,Person
2,164,181,25,19,63,Person
0,481,423,16,18,64,Person
1,240,340,17,18,64,Person
2,438,188,15,15,64,Car
3,172,185,17,15,64,Person
4,243,129,15,15,64,OtherVehicle
0,481,423,16,18,65,Person
1,240,341,17,18,65,Person
2,439,189,15,15,65,Person
3,172,185,17,15,65,Person
0,481,423,16,18,66,Person
1,240,341,17,18,66,Person
2,172,185,16,15,66,Car
0,481,423,16,18,67,Person
1,240,341,17,18,67,Person
2,172,185,17,15,67,Person
0,481,423,16,18,68,Person
1,240,342,16,18,68,Person
2,172,185,16,15,68,Car
3,241,130,15,15,68,Car
0,480,423,16,17,69,Person
1,240,342,16,18,69,Person
2,440,189,15,15,69,Person
3,171,185,17,15,69,Car
4,378,153,15,15,69,Person
5,241,130,15,15,69,Car
0,480,422,16,17,70,Person
1,239,342,17,18,70,Person
2,441,190,15,15,70,Person
3,170,184,18,16,70,Person
4,378,153,15,15,70,Person
5,241,130,15,15,70,Car
0,480,422,17,18,71,Person
1,239,342,17,18,71,Person
2,170,184,18,16,71,Person
0,480,422,16,17,72,Person
1,239,343,17,18,72,Person
2,163,181,25,19,72,Person
0,480,422,16,17,73,Person
1,239,343,17,18,73,Person
2,163,181,25,19,73,Person
0,480,422,16,17,74,Person
1,239,343,17,18,74,Person
2,163,181,25,19,74,Person
0,480,422,16,17,75,Person
1,239,344,17,18,75,Person
2,443,191,18,15,75,Person
3,163,181,25,19,75,Person
4,375,152,15,15,75,Person
0,480,422,16,17,76,Person
1,239,344,16,18,76,Person
2,443,191,18,15,76,Person
3,163,181,25,19,76,Person
4,375,152,15,15,76,Person
0,480,421,16,18,77,Person
1,238,344,17,18,77,Person
2,446,191,16,16,77,Person
3,163,181,25,19,77,Person
4,375,152,15,15,77,Person
0,480,421,16,18,78,Person
1,238,344,17,18,78,Person
2,163,181,25,19,78,Person
3,375,152,15,15,78,Person
0,480,421,16,18,79,Person
1,238,344,17,18,79,Person
2,444,191,15,15,79,Car
3,163,181,25,19,79,Person
4,375,152,16,15,79,Person
0,480,421,16,18,80,Person
1,238,345,17,18,80,Person
2,448,192,15,15,80,Person
3,163,181,25,19,80,Person
4,375,152,15,15,80,Person
0,480,421,16,18,81,Person
1,238,345,17,18,81,Person
2,445,192,18,15,81,Person
3,163,181,25,19,81,Person
4,375,152,15,15,81,Person
0,479,421,17,18,82,Person
1,238,345,17,18,82,Person
2,448,192,16,16,82,Person
3,163,181,24,19,82,Person
4,375,152,15,15,82,Person
0,479,420,17,19,83,Person
1,238,346,17,18,83,Person
2,170,184,17,16,83,Person
3,375,152,15,15,83,Person
0,479,420,17,19,84,Person
1,238,346,17,18,84,Person
2,447,192,18,16,84,Person
3,170,184,17,16,84,Person
4,373,151,15,15,84,Person
0,479,420,17,19,85,Person
1,238,346,16,18,85,Person
2,447,192,18,16,85,Person
3,170,184,17,16,85,Person
0,479,420,17,19,86,Person
1,238,346,16,18,86,Person
2,447,192,18,16,86,Person
3,170,184,17,16,86,Person
0,479,420,17,18,87,Person
1,237,346,17,19,87,Person
2,449,193,17,16,87,Person
3,170,184,17,16,87,Person
0,479,420,17,18,88,Person
1,237,347,17,18,88,Person
2,448,193,15,15,88,Person
3,170,184,17,16,88,Car
0,479,419,16,19,89,Person
1,237,347,17,18,89,Person
2,448,193,19,16,89,Person
3,169,184,18,16,89,Car
4,371,150,15,15,89,Person
0,478,419,17,19,90,Person
1,237,347,16,19,90,Person
2,0,336,8,15,90,Car
3,449,193,18,16,90,Person
4,169,184,18,16,90,Car
5,371,150,15,15,90,Person
0,478,419,17,19,91,Person
1,236,347,17,19,91,Person
2,448,193,19,16,91,Person
3,169,183,17,17,91,Person
4,371,150,15,15,91,Person
0,478,419,17,19,92,Person
1,236,348,17,18,92,Person
2,449,194,18,16,92,Person
3,169,183,17,17,92,Person
4,371,150,15,15,92,Person
0,478,419,17,18,93,Person
1,236,348,17,18,93,Person
2,451,194,17,16,93,Person
3,169,183,18,17,93,Car
4,371,150,15,15,93,Person
0,478,419,17,18,94,Person
1,236,348,17,19,94,Person
2,169,183,18,17,94,Car
0,478,419,17,18,95,Person
1,236,349,16,18,95,Person
2,450,194,19,16,95,Person
3,169,183,18,17,95,Car
0,477,418,17,19,96,Person
1,235,349,17,18,96,Person
2,451,195,18,15,96,Person
3,169,183,18,17,96,Car
4,228,129,15,15,96,Person
0,477,418,17,19,97,Person
1,235,349,17,18,97,Person
2,451,195,18,15,97,Person
3,168,183,18,17,97,Person
4,228,129,15,15,97,Person
0,477,418,17,19,98,Person
1,235,349,17,18,98,Person
2,451,195,18,15,98,Person
3,168,183,18,17,98,Person
0,477,418,17,19,99,Person
1,235,350,17,18,99,Person
2,168,183,18,17,99,Car
